key,0,1
#,,
int32,str,str
0,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000","嘿嘿嘿……
关于咒术，你有什么想了解的吗？"
1,"TEXT_REGWILTHMGUILD_00062_Q1_000_1","想了解什么？"
2,"TEXT_REGWILTHMGUILD_00062_A1_000_1","你是做什么的？"
3,"TEXT_REGWILTHMGUILD_00062_A1_000_2","什么是“咒术”？"
4,"TEXT_REGWILTHMGUILD_00062_A1_000_3","取消"
5,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_010","我是可可布奇……
人称独眼咒术师，可以自由操纵咒术华丽地破坏一切。
还有，我最爱吃的东西是渡渡鸟蛋煎蛋卷……"
6,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_011","现在，咒术师行会的会长由我们五兄弟担任，
我是五兄弟中的老大。"
7,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_012","我在此为那些崇拜强大破坏力的朋友，
讲解«咒术的深渊»……"
8,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_013","和咒术师同志共享知识、
收集古老的藏书、专研魔法知识，
这也是行会的创建目的之一……"
9,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_020","咒术嘛……可以这么说吧。
这是一种内省自己本性后，
发挥出强大破坏力的魔法……"
10,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_021","其来源是纳尔札尔教团在举行葬礼时使用的魔法。"
11,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_022","在吊慰死者的场合中所使用的力量，
后来发展为葬送生命的力量……
你不觉得很不可思议吗？"
12,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_023","嘿嘿嘿……
不过呢，咒术本身就是可怕的人心之力。"
13,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_050","哎呀呀……
受混沌的黑暗所引导的<Highlight>ObjectParameter(1)</Highlight>啊……
你找我有什么事吗？"
14,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_060","嘿嘿嘿……
你学了黑魔法是吧？
看到你以太的变化，我就知道了哦……"
15,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_061","果然，<Highlight>ObjectParameter(1)</Highlight>是被选中的人。
黑魔法是古老的破坏力，是十分美妙、蛊惑的魔法。
希望你不要太过沉迷那个深渊……"
16,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_070","嘿嘿嘿……你已经碰触到了现世的阴暗啊。
看来你不管面对怎样的危机都不会乱了阵脚。
佩服佩服……嘿嘿嘿……"
17,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_071","嘿嘿嘿……危机将你打磨得更加璀璨了。
孤阴不生，独阳不长……
真是期待你今后还会做出什么惊天动地的事情来……嘿嘿嘿。"
18,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_072","拂晓的人来找我求助过同伴陷入昏迷的事，
但遗憾的是我们也没有什么办法，
不过我相信你一定有办法找到希望，度过这次危机。"
19,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_100_072","关于拂晓贤人们陷入昏迷的事件，我已经收到了最近的报告。
听说连你都跑到异世界去了？
你还真是一如既往地令人惊叹啊……嘿嘿嘿。"
20,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_073","嘿嘿嘿……你全身充满了澎湃的魔力。
这绝强的破坏之力
是不是已经帮你粉碎了阻挡在面前的一次次危机？"
21,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_074","一步步深入深渊的你已经完全可以用“暗影”这个词来形容了。"
22,"TEXT_REGWILTHMGUILD_00062_Q2_000_1","想了解什么？"
23,"TEXT_REGWILTHMGUILD_00062_A2_000_1","最近怎么样？"
24,"TEXT_REGWILTHMGUILD_00062_A2_000_2","什么是“咒术”？"
25,"TEXT_REGWILTHMGUILD_00062_A2_000_3","取消"
26,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_100","近况么？嘿嘿嘿……
可可比格、可可巴尼、可可贝吉、可可博哈，
他们几个都在重新学习咒术……"
27,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_101","嘿嘿嘿……真是的。
人在战胜危机后，所得到的成长，着实耐人寻味……
看来«咒术的深渊»也非我能够读懂的……"
28,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_102","说到成长的话，前些日子……
可可布希做了渡渡鸟蛋煎蛋卷给我，
那松软程度不是以前做的煎蛋卷所能比的啊……"
29,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_104","近况吗嘿嘿嘿……
菈菈伊助祭对黑魔法的热情实在是非同小可，
甚至都比上从前的可可布希了。"
30,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_105","前几天她为了研究甚至想把一本封印着妖异的禁书拿出来，
结果连带着我都被雅雅凯导师训了一顿。"
31,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_106","说了多少次要事先得到许可才行，可她总是不往心里去……
应该还是不习惯行会的规矩吧，我会慢慢教导她的。"
32,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_110","那来复习一下咒术的基础知识吧……
咒术是一种内省自己本性后，
发挥出强大破坏力的魔法……"
33,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_111","其来源是纳尔札尔教团在举行葬礼时使用的魔法。"
34,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_112","在吊慰死者的场合中所使用的力量，
后来发展为葬送生命的力量……
你不觉得很不可思议吗？"
35,"TEXT_REGWILTHMGUILD_00062_COCOBUKI_000_113","嘿嘿嘿……
不过呢，咒术本身就是可怕的人心之力。"
