key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,bit&01,uint16,byte,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100001,"制作","消耗耐久以推动作业进展
效率：100
成功率：90%",239,246,1501,8,9,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"加工","消耗耐久以提高制品品质
效率：100
成功率：70%",240,247,1502,8,9,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"精修","恢复30点耐久",242,249,1507,8,9,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100004,"中级加工","消耗耐久以提高制品品质
效率：125
成功率：80%",240,247,1516,8,9,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"精修II","恢复60点耐久",242,249,1520,8,9,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100006,"风之印记","消耗耐久以推动作业进展
处理风属性配方时效率变为2倍
效率：100（200）
成功率：90%",239,246,1509,8,33,37,0,False,0,6,100006,100006,100006,100006,100006,100006,100006,100006
100007,"中级制作","消耗耐久以推动作业进展
效率：150
成功率：90%",239,246,1515,8,9,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100008,"上级加工","消耗耐久以提高制品品质
效率：150
成功率：90%",240,247,1517,8,9,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100009,"比尔格的祝福","消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升20
使用之后会结束内静效果
效率：100（100～）
成功率：90%",240,247,1521,8,33,50,0,False,0,24,100009,100009,100009,100009,100009,100009,100009,100009
100010,"观察","放空一次作业，不做任何事",242,249,1518,8,9,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100012,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100013,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100014,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100015,"制作","消耗耐久以推动作业进展
效率：100
成功率：90%",239,246,1551,9,10,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100016,"加工","消耗耐久以提高制品品质
效率：100
成功率：70%",240,247,1552,9,10,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100017,"精修","恢复30点耐久",242,249,1557,9,10,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100018,"中级加工","消耗耐久以提高制品品质
效率：125
成功率：80%",240,247,1566,9,10,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
