key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,ActionTimeline{Pose}[0],ActionTimeline{Pose}[1],ActionTimeline{Pose}[2],,,,,,,,,,,,,Text[0],Text[1],Text[2]
int32,uint32,byte,byte,byte,byte,ActionTimeline,ActionTimeline,ActionTimeline,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"0","0","0"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"0","0","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"0","0","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"0","0","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589833,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589834,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589835,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589836,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589837,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589838,0,1,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
