key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
#,Name,,Icon,ActionCategory,,Animation{Start},VFX,Animation{End},ActionTimeline{Hit},,ClassJob,,ClassJobLevel,IsRoleAction,Range,CanTargetSelf,CanTargetParty,CanTargetFriendly,CanTargetHostile,,,TargetArea,,,,CanTargetDead,,CastType,EffectRange,XAxisModifier,,Cost{Type},Cost,,,Action{Combo},PreservesCombo,Cast<100ms>,Recast<100ms>,CooldownGroup,AttackType,Aspect,ActionProcStatus,Status{GainSelf},UnlockLink,ClassJobCategory,,,AffectsPosition,Omen,IsPvP,,,,,,,,,,,,IsPlayerAction
int32,str,bit&01,Image,ActionCategory,byte,ActionCastTimeline,ActionCastVFX,ActionTimeline,ActionTimeline,byte,ClassJob,byte,byte,bit&02,sbyte,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,sbyte,bit&08,bit&10,byte,byte,byte,bit&20,byte,uint16,byte,uint16,Action,bit&40,uint16,uint16,byte,AttackType,byte,ActionProcStatus,Status,Row,ClassJobCategory,byte,bit&80,bit&01,Omen,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,byte,bit&04,bit&08,bit&10
0,"",False,405,0,0,0,0,0,0,0,-1,0,0,False,0,False,False,False,False,False,False,False,False,False,0,True,True,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,True,False,True,True,False,False,True,0,False,False,False
1,"任务道具",False,405,8,0,2,0,85,1875,0,0,0,0,False,3,False,False,False,True,True,True,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,0,0,1,0,False,False,0,False,False,True,False,True,True,False,False,True,0,False,True,False
2,"任务指令",False,405,8,0,1,0,0,1875,0,0,0,0,False,3,False,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,1,0,False,False,0,False,False,True,False,True,True,False,False,True,0,False,False,False
3,"冲刺",False,405,10,0,0,0,368,1875,0,0,0,0,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,600,56,0,0,0,0,0,1,0,False,False,0,False,False,True,False,True,True,False,False,True,0,False,True,False
4,"坐骑",False,405,5,0,2,0,165,1875,0,0,0,0,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,10,0,0,0,0,0,0,0,1,0,False,False,0,False,False,False,False,True,True,False,False,True,0,False,True,False
5,"传送",False,111,10,0,1,1,164,1875,0,0,0,0,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,4,1,0,False,False,0,False,False,True,False,True,True,False,False,True,0,True,True,False
6,"返回",False,112,10,0,1,2,163,1875,0,0,0,0,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,9000,57,0,0,0,0,1,1,0,False,False,0,False,False,True,False,True,True,False,False,True,0,True,True,False
7,"攻击",False,405,1,0,0,0,-1,1875,0,0,0,0,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,-1,7,0,0,0,1,0,False,False,0,False,False,True,False,True,True,False,False,True,0,False,False,False
