key,0,1,2
#,Name,ClassJobCategory,InclusionShopSeries
int32,str,ClassJobCategory,InclusionShopSeries
0,"",0,0
1,"防护职业装备",75,1
2,"近战职业装备（龙骑士·钐镰客）",76,2
3,"近战职业装备（武僧·武士）",77,3
4,"远程物理职业装备",78,4
5,"近战职业装备（忍者）",104,5
6,"治疗职业装备",80,6
7,"魔法进攻职业装备",79,7
8,"战斗相关道具",0,8
9,"能工巧匠装备",33,9
10,"制作相关道具",0,10
11,"大地使者装备",32,11
12,"采集相关道具",0,12
13,"防护职业装备",75,13
14,"近战职业装备（龙骑士·钐镰客）",76,14
15,"近战职业装备（武僧·武士）",77,15
16,"远程物理职业装备",78,16
17,"近战职业装备（忍者）",104,17
18,"治疗职业装备",80,18
19,"魔法进攻职业装备",79,19
20,"战斗相关道具",0,20
21,"能工巧匠装备",33,21
22,"制作相关道具",0,22
23,"大地使者装备",32,23
24,"采集相关道具",0,24
25,"防护职业装备",75,25
26,"近战职业装备（龙骑士·钐镰客）",76,26
27,"近战职业装备（武僧·武士）",77,27
28,"远程物理职业装备",78,28
29,"近战职业装备（忍者）",104,29
30,"治疗职业装备",80,30
31,"魔法进攻职业装备",79,31
32,"战斗相关道具",0,32
33,"能工巧匠装备",33,33
34,"制作相关道具",0,34
35,"大地使者装备",32,35
36,"采集相关道具",0,36
37,"防护职业装备",75,37
38,"近战职业装备（龙骑士·钐镰客）",76,38
39,"近战职业装备（武僧·武士）",77,39
40,"远程物理职业装备",78,40
41,"近战职业装备（忍者）",104,41
42,"治疗职业装备",80,42
43,"魔法进攻职业装备",79,43
44,"战斗相关道具",0,44
45,"能工巧匠装备",33,45
46,"制作相关道具",0,46
47,"大地使者装备",32,47
48,"采集相关道具",0,48
49,"巧手工票交易：装备",0,49
50,"巧手工票交易：秘籍·素材·杂货",33,50
51,"大地工票交易：装备",0,51
52,"大地工票交易：素材·杂货",32,52
53,"巧手工票交易：魔晶石",0,53
54,"大地工票交易：魔晶石",0,54
55,"巧手工票交易：装备",0,55
56,"巧手工票交易：秘籍·素材·杂货",33,56
57,"大地工票交易：装备",0,57
58,"大地工票交易：素材·杂货",32,58
59,"巧手工票交易：装备",0,59
60,"巧手工票交易：秘籍·素材·杂货",33,60
61,"大地工票交易：装备",0,61
62,"大地工票交易：素材·杂货",32,62
