key,0,1,2,3,4,5,6,7,8,9
#,Destination,Location,,,,RankReq,CeruleumTankReq,Duration<min>,DistanceForSurvey,ExpReward
int32,str,str,int16,int16,int16,byte,byte,uint16,byte,uint32
0,"","",483,927,0,0,0,0,0,0
1,"A　洁白浅滩","A",640,880,100,1,1,180,10,10610
2,"B　溺没海1","B",570,750,300,1,1,180,10,10610
3,"C　溺没海2","C",740,700,300,4,1,240,10,27840
4,"D　无光海盆","D",400,850,500,4,2,240,10,27840
5,"E　溺没海3","E",650,610,200,7,2,300,11,46660
6,"F　利米拉拉海沟南端","F",850,850,600,7,3,300,11,46660
7,"G　伞峡","G",260,760,100,10,1,360,11,75920
8,"H　俘虏岛","H",120,840,100,14,1,420,12,102600
9,"I　石人岛","I",380,660,100,17,1,420,12,118350
10,"J　无名沉船","J",900,600,600,20,3,480,12,146210
11,"K　湛蓝浅滩 ","K",520,550,300,20,6,480,12,146210
12,"L　神秘海盆 ","L",260,570,600,24,6,540,13,174980
13,"M　溺没海4","M",90,630,100,27,6,600,13,200430
14,"N　利米拉拉海沟中部","N",800,550,400,27,6,600,13,200430
15,"O　探索号残骸","O",630,490,500,30,6,660,14,231750
16,"P　树丛岛","P",290,365,100,30,6,660,14,231750
17,"Q　金山岛","Q",115,350,0,34,6,720,14,263530
18,"R　海军的秘密港口","R",150,540,600,37,6,780,15,292170
19,"S　溺没海5","S",320,230,200,37,6,780,15,292170
20,"T　炼狱岛","T",130,180,100,40,6,840,15,0
21,"","",0,0,0,0,0,0,0,0
22,"","",0,0,0,0,0,0,0,0
23,"","",0,0,0,0,0,0,0,0
24,"","",0,0,0,0,0,0,0,0
25,"","",0,0,0,0,0,0,0,0
26,"","",0,0,0,0,0,0,0,0
27,"","",0,0,0,0,0,0,0,0
28,"","",0,0,0,0,0,0,0,0
29,"","",0,0,0,0,0,0,0,0
30,"","",0,0,0,0,0,0,0,0
31,"","",0,0,0,0,0,0,0,0
