key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,,,,,,,,,,,,,
int32,int32,byte,byte,byte,byte,int32,str,str,str,bit&01,bit&02,str,str
0,0,0,0,0,0,0,"","","",False,True,"",""
1,1,4,0,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,"脱离","按下按钮跳下来吧！"
2,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,"脱离","快速连击按钮挣脱出来吧！"
3,3,25,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,True,"拼刀","快速连击按钮抗住攻击！"
4,4,0,0,0,0,0,"","","",False,True,"",""
5,2,5,35,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,"脱离","快速连击按钮挣脱出来吧！"
6,2,5,15,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,"脱离","快速连击按钮挣脱出来吧！"
7,3,25,20,2,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,True,"骑乘攻防","快速连击按钮进行压制！"
8,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,True,"脱离","快速连击按钮挣脱出来吧！"
9,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,"暴风牢狱","用尽全力逃脱出来吧！"
