key,0,1,2,3,4,5,6,7,8,9
#,Quest,,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,byte,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,0,0,0,0,0,0,0,"","",""
1,0,0,0,0,0,0,0,"","",""
2,0,0,0,0,0,0,0,"","",""
3,0,0,0,0,0,0,0,"","",""
4,0,0,0,0,0,0,0,"","",""
5,0,0,0,0,0,0,0,"","",""
6,0,0,0,0,0,0,0,"","",""
7,67205,1,1,1,113801,113601,113701,"苍穹之禁城 1","","在沙蝎众罗罗力特的谋略下，拂晓血盟被扣上了暗杀女王的罪名。
名声扫地的英雄与失意的阿尔菲诺共同踏上了前往北地库尔札斯的路。
坐落在那片土地上的宗教都市伊修加德，是一座闭关锁国、独自与龙族争斗了千年之久的独特国家。"
8,67205,1,1,2,113802,113602,113702,"苍穹之禁城 2","","造访龙族的领域，见到了圣龙赫拉斯瓦尔格的一行人得知了有关龙诗战争起因的真相。
原来在很久很久以前，人类与龙族曾和平相处，是人类国王的背叛导致了两族的对立……
为了阻止悲剧的延续，光之战士与苍天之龙骑士向邪龙发起了挑战。"
9,67783,1,1,3,113803,113603,113703,"龙诗战争终章","","付出莫大的牺牲后，光之战士在魔大陆的决战中取得了最终胜利，斩断了导致战争无法终结的要因。
但这并不意味着纷争能立刻结束……
任谁都能看出，在伊修加德前进的道路上，还有着无数的艰难险阻等在那里。"
10,67895,1,1,4,113804,113604,113704,"龙诗战争尾声","","通过云廊的决战，尼德霍格的邪影消散，持续千年的龙诗战争终于宣告终结。
但一个故事结束的同时，也意味着新故事的开始。
从这里开始，将会是那位伯爵的回忆录中没有记载的故事。"
11,68089,1,2,1,113805,113605,113705,"红莲之狂潮 1","","为了将阿拉米格从加雷马帝国的残暴统治中解放出来，艾欧泽亚同盟军开始了进军。
同时，东洲奥萨德次大陆也燃起了反攻的狼烟。
光之战士的冒险范围不再受限于艾欧泽亚，开始向东方迈出了脚步。"
12,68089,1,2,2,113806,113606,113706,"红莲之狂潮 2","","经过在红玉海的冒险，光之战士一行在曾经由多玛统治的延夏之地再次目睹了帝国治下领地的惨状。
为了拯救被代理总督夜露压迫的百姓们，光之战士一行向多玛少主藏身的太阳神草原进发。"
13,68612,1,2,3,113807,113607,113707,"解放战争战后 1","","解放，它代表着一段统治的结束，也意味着新时代的开启。
在这时代的浪潮中，人们被迫对如何面对自己的过去与未来做出选择。
为了重建国家而奔波的莉瑟；被囚禁在昏暗牢房中的芙朵拉；夙愿得偿的猛将劳班。
他们究竟会对今后的道路、自己的归宿做出怎样的选择呢……"
14,68721,1,2,4,113808,113608,113708,"解放战争战后 2","","活跃在加雷马帝国中枢的“芝诺斯样貌的男性”，
皇太子芝诺斯消失的遗体。
这一连串事件的背后都有着混沌使者无影在插手的痕迹。就在这一时刻，一位使者来到了拂晓血盟的总部石之家。"
15,69190,1,3,1,113809,113609,113709,"暗影之逆焰 1","","光之战士成功从帝国的统治中解放了多玛与阿拉米格，
然而支撑着英雄的拂晓贤人们却在神秘的呼唤声中接连倒下。
背向边境线上战火熊熊燃烧的基姆利特暗区，
冒险者毅然遵从声音的指引，开启了前往新世界的旅程……"
16,69190,1,3,2,113810,113610,113710,"暗影之逆焰 2","","暗之战士一行为拉凯提卡大森林夺回了夜晚，
然而诺弗兰特充满无尽光明的地域还有很多。
将爱梅特赛尔克透露的惊人真相收于心底，
一行人再次踏上了叛逆的旅途。"
17,65580,3,4,1,113811,113611,113711,"巴哈姆特大迷宫","","由于奈尔·范·达纳斯推进的“陨石计划”，
卫月碎裂、坠落到了艾欧泽亚。
通过卫月的残骸探索埋藏于地下的大迷宫，
探寻隐藏在黑暗中的“第七灵灾的真相”吧！"
18,66031,3,5,1,113812,113612,113712,"水晶塔","","长久以来，人们都以为圣典中记述的绚丽水晶巨塔仅仅只是一个传说。
然而，在第七灵灾的影响下，水晶塔的身影出现在了摩杜纳的土地上。
和探寻亚拉戈秘密的同伴们一起解开水晶塔之谜吧！"
19,67875,3,4,2,113813,113613,113713,"亚历山大机神城","","一座机械巨城突然出现在了位于龙堡内陆低地的沙利亚克河中段。
面对这新的蛮神威胁，光之战士们再次挺身而出！
就这样，一场穿越时光的大冒险拉开了帷幕。"
20,67910,3,5,2,113814,113614,113714,"玛哈之影","","空贼，那是一群驾驭着自己心爱的飞空艇、自由翱翔于天空追寻各处秘境与秘宝的无畏之人。
然而在这样一群人中间，近日却流传出了“有一条幽灵船在云海中徘徊”的恐怖传闻。
时值大航空时代，古代魔法师们建造的魔航船“方舟”显露了它的身影。"
21,67930,3,6,1,113815,113615,113715,"上古众神","","魔大陆阿济兹封印着古代蛮神“三斗神”，
其中的魔神萨菲洛特即将苏醒。
从来访血盟的蛇心口中知晓了这一危机的光之战士展开了新的死斗……"
22,68693,3,4,3,113816,113616,113716,"欧米茄时空狭缝","","为了从蛮神的威胁中解救艾欧泽亚，
西德与尼禄启动了古代兵器“欧米茄”。
它与神龙大战一番后，消失在了基拉巴尼亚方向。
由此，一场超乎想象的战斗即将在时空狭缝展开。"
23,68726,3,5,3,113817,113617,113717,"重返伊瓦利斯","","远东之国的黄金港迎来了一艘名为“初见号”的移动式空中剧场。
这个凭借音乐剧《黄道勇士传奇》在加雷马帝国极富盛名的剧团为何会来到这远东的商港？
我们的故事即将重返那梦幻般的王国——伊瓦利斯。"
24,68702,3,6,2,113818,113618,113718,"四圣兽奇谭","","“典膳驱鬼”讲的是一名武士带着拥有神奇力量的“四圣兽”挑战鬼怪的故事。
然而在这个传说故事的背后，究竟隐藏着怎样的真相呢？
红玉海的角落里，奇妙的物语正在拉开序幕。"
