key,0,1
#,Image,Description
int32,Image,str
0,0,""
1,86801,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>南方博兹雅战线是采用多个特殊规则和专用系统的任务！
请充分理解该任务的特征，战胜加雷马帝国第四军团吧！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

<UIForeground>0F</UIForeground>※下一页将介绍南方博兹雅战线的特殊规则。
请务必仔细阅读，以便充分体验该任务。<UIForeground>01</UIForeground>"
2,86801,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■参加本任务时的职业等级将被同步到80级！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

南方博兹雅战线任务中，只要任意职业达到71级即可参加。
在参加任务时，当前职业等级将被同步到80级。
此外，不论现有装备如何，都将被自动调整至最合适的品级，
因此无需提前准备装备。

<UIForeground>0F</UIForeground>※参加任务的职业可以使用当前职业80级以内（包含80级）的全部技能。<UIForeground>01</UIForeground>"
3,86802,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■获得战果提升义军等级！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

南方博兹雅战线任务中专门设置了一种义军等级。
战果可以通过参加“冲突战”、“紧急遭遇战”等大规模作战行动，
并取得一定的评价后得到提升。

<UIForeground>0F</UIForeground>※仅打倒魔兽或帝国兵无法获得战果。
战果将在作战行动完成时获得，敬请注意！<UIForeground>01</UIForeground>"
4,86802,"战果积累到一定程度时，
可以向据点内的义军司令部军官（义军等级）报告。
当战果达到一定程度，义军等级将会提升。

随着义军等级的提升，行动的范围会越来越广，任务也会继续推进。
为了今后更为有利地展开作战活动，请积极地提升义军等级。

<UIForeground>0F</UIForeground>※义军等级必须经过战果报告才能提升。
当战果积累到一定程度时，请不要忘记向军官报告！<UIForeground>01</UIForeground>"
5,86802,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■活用职业的等级同步规则！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

在完成大规模作战行动的“冲突战”以及“紧急遭遇战”时
可以获得提升职业等级的经验值。

获得的经验值与战果不同，无需经过报告即可像通常一样，
在积累到规定的数值时将自动提升职业等级。

如果目前还有未满80级的职业，请务必积极地活用等级同步规则！"
6,86803,"<UIForeground>08</UIForeground><UIGlow>04</UIGlow>■不知道该怎么办了！　这种时候……<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

甘戈斯的谢罗斯以及任务内的其他非玩家角色
将会为你解说规则及系统等事项。
如有不明，请积极地向非玩家角色询问！"
