key,0,1
#,ContentTalkParam,Text
int32,ContentTalkParam,str
0,4,""
1,1,"テスト用トークテキスト1"
2,2,"テスト用トークテキスト2"
3,3,"テスト用トークテキスト3"
4,1,"テスト用トークテキスト4"
5,2,"テスト用トークテキスト5"
20,4,"我是冒险者行会的人。
负责管理“行会令”，发放单枪匹马无法解决的特殊任务。"
21,4,"你是第一次挑战行会令吧？
此任务不可能靠一个人的力量达成，
需要多人配合进行。"
22,4,"因为都是从周边居民和各组织的委托中挑选出的特殊任务嘛。
同时也是对你们冒险者团结力的考验。"
23,4,"完成任务就可以获取相应的报酬。
第一次完成该任务时还会获得额外的报酬。
多多努力吧。"
24,4,"我是冒险者行会的人。
负责管理“行会令”，发放单枪匹马无法解决的特殊任务。"
25,4,"但是看来你的实力还不够，
还不能放心交给你这个任务。
你再去练练功夫吧。"
26,4,"怎么了？现在还在执行任务！
难道你想要放弃战斗，落荒而逃吗？"
27,4,"干得漂亮。
这是你这次任务的报酬。"
28,4,"干得漂亮，真是身手了得！
这回会多给你些报酬的。"
29,4,"喂喂，你的背包已经装满了啊。"
30,4,"正在发放任务的报酬。
请等一下。"
31,4,"准备战斗！
确认是否全员都到齐了！"
40,4,"我是冒险者行会的特务队长。
负责管理“行会令”，发放这附近的多人特殊任务。"
41,4,"你是第一次接受行会令吧？
此任务不可能靠一个人的力量达成，
是十分特殊的任务。"
42,4,"此类任务极其困难，
没有同伴帮忙，很难完成。"
43,4,"而相对的，完成任务后的报酬也十分可观。
特别是第一次完成该任务时，还会获得额外的报酬。"
44,4,"我是冒险者行会的特务队长。
负责管理“行会令”，发放这附近的多人特殊任务。"
45,4,"但是看来你的实力还不够，
等你有了实力，能完成我的任务了，
再来找我。"
46,4,"别放松，现在还在执行任务！
难道你想要放弃任务，落荒而逃吗？"
47,4,"干得漂亮，和同伴的合作也很出色。
这是你这次任务的报酬，快收下吧。"
48,4,"干得漂亮，和同伴的合作也很出色。
这次多给你些报酬，快收下吧。"
49,4,"做人可别太贪婪啊。
瞧你那鼓鼓的背包，哪里还装得下报酬！"
50,4,"做人可别太贪婪啊。
我正在分配报酬，你等一会。"
51,4,"别慌，等同伴赶来！"
60,4,"我是提落落，是冒险者行会的人。
负责管理“行会令”，发放单枪匹马无法解决的特殊任务。"
61,4,"哎呀？你是第一次接受行会令？
此任务不可能靠一个人的力量达成，
是十分特殊的任务。"
62,4,"因为这些任务都很难，
是对你们冒险者团结力的考验。"
63,4,"完成任务就可以获取相应的报酬。
第一次完成该任务时还会获得额外的报酬。"
